mergeBatches Taille_M: 1024, nbthreads: 1024, numblocks: 65535, Temps: 0.33005, verif: -1
mergeBatches Taille_M: 2048, nbthreads: 1024, numblocks: 65535, Temps: 2.87597, verif: -1
mergeBatches Taille_M: 4096, nbthreads: 1024, numblocks: 65535, Temps: 6.57411, verif: -1
mergeBatches Taille_M: 6144, nbthreads: 1024, numblocks: 65535, Temps: 8.24848, verif: -1
mergeBatches Taille_M: 8192, nbthreads: 1024, numblocks: 65535, Temps: 9.37872, verif: -1
mergeBatches Taille_M: 10240, nbthreads: 1024, numblocks: 65535, Temps: 13.98109, verif: -1
mergeBatches Taille_M: 12288, nbthreads: 1024, numblocks: 65535, Temps: 12.93562, verif: -1
mergeBatches Taille_M: 14336, nbthreads: 1024, numblocks: 65535, Temps: 13.01840, verif: -1
mergeBatches Taille_M: 16384, nbthreads: 1024, numblocks: 65535, Temps: 13.78112, verif: -1
mergeBatches Taille_M: 18432, nbthreads: 1024, numblocks: 65535, Temps: 19.03533, verif: -1
mergeBatches Taille_M: 20480, nbthreads: 1024, numblocks: 65535, Temps: 19.36198, verif: -1
mergeBatches Taille_M: 22528, nbthreads: 1024, numblocks: 65535, Temps: 21.64634, verif: -1
mergeBatches Taille_M: 24576, nbthreads: 1024, numblocks: 65535, Temps: 21.17894, verif: -1
mergeBatches Taille_M: 26624, nbthreads: 1024, numblocks: 65535, Temps: 22.40083, verif: -1
mergeBatches Taille_M: 28672, nbthreads: 1024, numblocks: 65535, Temps: 25.76947, verif: -1
mergeBatches Taille_M: 30720, nbthreads: 1024, numblocks: 65535, Temps: 27.03341, verif: -1
mergeBatches Taille_M: 32768, nbthreads: 1024, numblocks: 65535, Temps: 28.05398, verif: -1
mergeBatches Taille_M: 34816, nbthreads: 1024, numblocks: 65535, Temps: 32.93843, verif: -1
mergeBatches Taille_M: 36864, nbthreads: 1024, numblocks: 65535, Temps: 35.96752, verif: -1
mergeBatches Taille_M: 38912, nbthreads: 1024, numblocks: 65535, Temps: 30.94970, verif: -1
mergeBatches Taille_M: 40960, nbthreads: 1024, numblocks: 65535, Temps: 37.27091, verif: -1
mergeBatches Taille_M: 43008, nbthreads: 1024, numblocks: 65535, Temps: 38.95322, verif: -1
mergeBatches Taille_M: 45056, nbthreads: 1024, numblocks: 65535, Temps: 38.64941, verif: -1
mergeBatches Taille_M: 47104, nbthreads: 1024, numblocks: 65535, Temps: 43.32490, verif: -1
mergeBatches Taille_M: 49152, nbthreads: 1024, numblocks: 65535, Temps: 44.23946, verif: -1
mergeBatches Taille_M: 51200, nbthreads: 1024, numblocks: 65535, Temps: 46.23629, verif: -1
mergeBatches Taille_M: 53248, nbthreads: 1024, numblocks: 65535, Temps: 44.54800, verif: -1
