mergeBatches_seq Taille_M: 1024, nbthreads: 1024, numblocks: 65535, Temps: 0.25392, verif: -1
mergeBatches_seq Taille_M: 2048, nbthreads: 1024, numblocks: 65535, Temps: 0.44237, verif: -1
mergeBatches_seq Taille_M: 3072, nbthreads: 1024, numblocks: 65535, Temps: 0.66544, verif: -1
mergeBatches_seq Taille_M: 4096, nbthreads: 1024, numblocks: 65535, Temps: 0.92365, verif: -1
mergeBatches_seq Taille_M: 5120, nbthreads: 1024, numblocks: 65535, Temps: 1.28819, verif: -1
mergeBatches_seq Taille_M: 6144, nbthreads: 1024, numblocks: 65535, Temps: 1.54214, verif: -1
mergeBatches_seq Taille_M: 7168, nbthreads: 1024, numblocks: 65535, Temps: 1.82269, verif: -1
mergeBatches_seq Taille_M: 8192, nbthreads: 1024, numblocks: 65535, Temps: 2.01728, verif: -1
mergeBatches_seq Taille_M: 9216, nbthreads: 1024, numblocks: 65535, Temps: 2.47235, verif: -1
mergeBatches_seq Taille_M: 10240, nbthreads: 1024, numblocks: 65535, Temps: 2.61235, verif: -1
mergeBatches_seq Taille_M: 11264, nbthreads: 1024, numblocks: 65535, Temps: 2.88176, verif: -1
mergeBatches_seq Taille_M: 12288, nbthreads: 1024, numblocks: 65535, Temps: 3.19242, verif: -1
mergeBatches_seq Taille_M: 13312, nbthreads: 1024, numblocks: 65535, Temps: 3.45075, verif: -1
mergeBatches_seq Taille_M: 14336, nbthreads: 1024, numblocks: 65535, Temps: 3.83635, verif: -1
mergeBatches_seq Taille_M: 15360, nbthreads: 1024, numblocks: 65535, Temps: 4.08595, verif: -1
mergeBatches_seq Taille_M: 16384, nbthreads: 1024, numblocks: 65535, Temps: 4.28096, verif: -1
mergeBatches_seq Taille_M: 17408, nbthreads: 1024, numblocks: 65535, Temps: 4.70192, verif: -1
mergeBatches_seq Taille_M: 18432, nbthreads: 1024, numblocks: 65535, Temps: 5.25923, verif: -1
mergeBatches_seq Taille_M: 19456, nbthreads: 1024, numblocks: 65535, Temps: 5.49235, verif: -1
mergeBatches_seq Taille_M: 20480, nbthreads: 1024, numblocks: 65535, Temps: 5.73974, verif: -1
