mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 514, Temps: 0.03408, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 524, Temps: 0.03731, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 534, Temps: 0.03459, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 544, Temps: 0.03750, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 554, Temps: 0.03798, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 564, Temps: 0.03658, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 574, Temps: 0.03514, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 584, Temps: 0.03715, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 594, Temps: 0.03645, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 604, Temps: 0.03642, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 614, Temps: 0.03747, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 624, Temps: 0.03562, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 634, Temps: 0.05987, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 644, Temps: 0.03840, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 654, Temps: 0.03677, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 664, Temps: 0.05974, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 674, Temps: 0.03661, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 684, Temps: 0.03766, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 694, Temps: 0.03901, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 704, Temps: 0.03658, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 714, Temps: 0.03686, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 724, Temps: 0.03763, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 734, Temps: 0.03670, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 744, Temps: 0.03674, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 754, Temps: 0.04307, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 764, Temps: 0.06154, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 774, Temps: 0.06515, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 784, Temps: 0.06525, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 794, Temps: 0.04429, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 804, Temps: 0.03808, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 814, Temps: 0.03779, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 824, Temps: 0.03696, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 834, Temps: 0.03811, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 844, Temps: 0.03824, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 854, Temps: 0.03750, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 864, Temps: 0.03830, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 874, Temps: 0.03654, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 884, Temps: 0.03722, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 894, Temps: 0.03869, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 904, Temps: 0.03763, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 914, Temps: 0.03859, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 924, Temps: 0.03814, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 934, Temps: 0.03750, verif: -1
mergeSmall_k_shared Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 944, Temps: 0.03722, verif: -1
