mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 4, Temps: 2.74643, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 14, Temps: 0.94323, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 24, Temps: 0.59811, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 34, Temps: 0.44218, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 44, Temps: 0.34928, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 54, Temps: 0.29024, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 64, Temps: 0.14038, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 74, Temps: 0.12499, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 84, Temps: 0.20438, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 94, Temps: 0.18570, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 104, Temps: 0.16995, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 114, Temps: 0.09190, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 124, Temps: 0.15075, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 134, Temps: 0.14394, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 144, Temps: 0.13722, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 154, Temps: 0.13059, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 164, Temps: 0.12531, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 174, Temps: 0.11667, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 184, Temps: 0.11104, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 194, Temps: 0.10966, verif: -1
mergeSmall_k Taille_A: 512, Taille_B: 512, Taille_M: 1024, nbthreads: 204, Temps: 0.11370, verif: -1
