sort Taille_M: 10, nbthreads: 1024, numblocks: 65535, Temps: 7.72432, verif: -1
sort Taille_M: 10, nbthreads: 1024, numblocks: 65535, Temps: 6.56803, verif: -1
sort Taille_M: 20, nbthreads: 1024, numblocks: 65535, Temps: 11.08979, verif: -1
sort Taille_M: 30, nbthreads: 1024, numblocks: 65535, Temps: 18.20691, verif: -1
sort Taille_M: 40, nbthreads: 1024, numblocks: 65535, Temps: 24.60438, verif: -1
sort Taille_M: 50, nbthreads: 1024, numblocks: 65535, Temps: 31.95101, verif: -1
sort Taille_M: 60, nbthreads: 1024, numblocks: 65535, Temps: 32.68653, verif: -1
sort Taille_M: 70, nbthreads: 1024, numblocks: 65535, Temps: 43.45718, verif: -1
sort Taille_M: 80, nbthreads: 1024, numblocks: 65535, Temps: 52.24314, verif: -1
sort Taille_M: 90, nbthreads: 1024, numblocks: 65535, Temps: 59.61968, verif: -1
sort Taille_M: 100, nbthreads: 1024, numblocks: 65535, Temps: 71.05338, verif: -1
sort Taille_M: 110, nbthreads: 1024, numblocks: 65535, Temps: 76.57542, verif: -1
sort Taille_M: 120, nbthreads: 1024, numblocks: 65535, Temps: 82.42995, verif: -1
sort Taille_M: 130, nbthreads: 1024, numblocks: 65535, Temps: 231.71388, verif: -1
sort Taille_M: 140, nbthreads: 1024, numblocks: 65535, Temps: 243.96915, verif: -1
sort Taille_M: 150, nbthreads: 1024, numblocks: 65535, Temps: 123.14259, verif: -1
sort Taille_M: 160, nbthreads: 1024, numblocks: 65535, Temps: 113.82726, verif: -1
sort Taille_M: 170, nbthreads: 1024, numblocks: 65535, Temps: 136.35504, verif: -1
sort Taille_M: 180, nbthreads: 1024, numblocks: 65535, Temps: 132.94138, verif: -1
sort Taille_M: 190, nbthreads: 1024, numblocks: 65535, Temps: 150.93648, verif: -1
sort Taille_M: 200, nbthreads: 1024, numblocks: 65535, Temps: 148.01167, verif: -1
sort Taille_M: 210, nbthreads: 1024, numblocks: 65535, Temps: 148.90532, verif: -1
sort Taille_M: 220, nbthreads: 1024, numblocks: 65535, Temps: 167.82698, verif: -1
sort Taille_M: 230, nbthreads: 1024, numblocks: 65535, Temps: 266.69699, verif: -1
sort Taille_M: 240, nbthreads: 1024, numblocks: 65535, Temps: 163.55942, verif: -1
sort Taille_M: 250, nbthreads: 1024, numblocks: 65535, Temps: 277.70355, verif: -1
sort Taille_M: 260, nbthreads: 1024, numblocks: 65535, Temps: 203.91850, verif: -1
sort Taille_M: 270, nbthreads: 1024, numblocks: 65535, Temps: 209.82716, verif: -1
sort Taille_M: 280, nbthreads: 1024, numblocks: 65535, Temps: 208.22211, verif: -1
sort Taille_M: 290, nbthreads: 1024, numblocks: 65535, Temps: 221.09795, verif: -1
sort Taille_M: 300, nbthreads: 1024, numblocks: 65535, Temps: 222.48291, verif: -1
sort Taille_M: 310, nbthreads: 1024, numblocks: 65535, Temps: 236.68967, verif: -1
sort Taille_M: 320, nbthreads: 1024, numblocks: 65535, Temps: 239.65062, verif: -1
sort Taille_M: 330, nbthreads: 1024, numblocks: 65535, Temps: 250.60234, verif: -1
sort Taille_M: 340, nbthreads: 1024, numblocks: 65535, Temps: 346.37378, verif: -1
sort Taille_M: 350, nbthreads: 1024, numblocks: 65535, Temps: 261.44083, verif: -1
sort Taille_M: 360, nbthreads: 1024, numblocks: 65535, Temps: 272.01898, verif: -1
sort Taille_M: 370, nbthreads: 1024, numblocks: 65535, Temps: 278.23099, verif: -1
sort Taille_M: 380, nbthreads: 1024, numblocks: 65535, Temps: 280.48944, verif: -1
sort Taille_M: 390, nbthreads: 1024, numblocks: 65535, Temps: 276.18457, verif: -1
sort Taille_M: 400, nbthreads: 1024, numblocks: 65535, Temps: 281.12216, verif: -1
sort Taille_M: 410, nbthreads: 1024, numblocks: 65535, Temps: 293.23154, verif: -1
sort Taille_M: 420, nbthreads: 1024, numblocks: 65535, Temps: 297.98788, verif: -1
sort Taille_M: 430, nbthreads: 1024, numblocks: 65535, Temps: 297.19476, verif: -1
sort Taille_M: 440, nbthreads: 1024, numblocks: 65535, Temps: 295.12070, verif: -1
sort Taille_M: 450, nbthreads: 1024, numblocks: 65535, Temps: 313.40155, verif: -1
sort Taille_M: 460, nbthreads: 1024, numblocks: 65535, Temps: 316.59882, verif: -1
sort Taille_M: 470, nbthreads: 1024, numblocks: 65535, Temps: 322.30170, verif: -1
sort Taille_M: 480, nbthreads: 1024, numblocks: 65535, Temps: 326.49399, verif: -1
sort Taille_M: 490, nbthreads: 1024, numblocks: 65535, Temps: 329.98953, verif: -1
sort Taille_M: 500, nbthreads: 1024, numblocks: 65535, Temps: 341.46118, verif: -1
sort Taille_M: 510, nbthreads: 1024, numblocks: 65535, Temps: 341.01660, verif: -1
sort Taille_M: 520, nbthreads: 1024, numblocks: 65535, Temps: 335.81473, verif: -1
sort Taille_M: 530, nbthreads: 1024, numblocks: 65535, Temps: 344.45712, verif: -1
sort Taille_M: 540, nbthreads: 1024, numblocks: 65535, Temps: 351.93936, verif: -1
sort Taille_M: 550, nbthreads: 1024, numblocks: 65535, Temps: 356.47687, verif: -1
sort Taille_M: 560, nbthreads: 1024, numblocks: 65535, Temps: 359.95514, verif: -1
sort Taille_M: 570, nbthreads: 1024, numblocks: 65535, Temps: 361.26810, verif: -1
sort Taille_M: 580, nbthreads: 1024, numblocks: 65535, Temps: 365.43195, verif: -1
sort Taille_M: 590, nbthreads: 1024, numblocks: 65535, Temps: 361.25647, verif: -1
sort Taille_M: 600, nbthreads: 1024, numblocks: 65535, Temps: 481.87177, verif: -1
sort Taille_M: 610, nbthreads: 1024, numblocks: 65535, Temps: 386.72980, verif: -1
sort Taille_M: 620, nbthreads: 1024, numblocks: 65535, Temps: 455.57864, verif: -1
sort Taille_M: 630, nbthreads: 1024, numblocks: 65535, Temps: 395.26706, verif: -1
sort Taille_M: 640, nbthreads: 1024, numblocks: 65535, Temps: 397.37500, verif: -1
sort Taille_M: 650, nbthreads: 1024, numblocks: 65535, Temps: 400.13260, verif: -1
sort Taille_M: 660, nbthreads: 1024, numblocks: 65535, Temps: 411.07117, verif: -1
sort Taille_M: 670, nbthreads: 1024, numblocks: 65535, Temps: 403.64667, verif: -1
sort Taille_M: 680, nbthreads: 1024, numblocks: 65535, Temps: 408.14780, verif: -1
sort Taille_M: 690, nbthreads: 1024, numblocks: 65535, Temps: 413.68304, verif: -1
sort Taille_M: 700, nbthreads: 1024, numblocks: 65535, Temps: 414.68289, verif: -1
sort Taille_M: 710, nbthreads: 1024, numblocks: 65535, Temps: 432.15253, verif: -1
sort Taille_M: 720, nbthreads: 1024, numblocks: 65535, Temps: 426.86877, verif: -1
sort Taille_M: 730, nbthreads: 1024, numblocks: 65535, Temps: 431.21393, verif: -1
sort Taille_M: 740, nbthreads: 1024, numblocks: 65535, Temps: 437.48425, verif: -1
sort Taille_M: 750, nbthreads: 1024, numblocks: 65535, Temps: 436.26642, verif: -1
sort Taille_M: 760, nbthreads: 1024, numblocks: 65535, Temps: 448.57660, verif: -1
sort Taille_M: 770, nbthreads: 1024, numblocks: 65535, Temps: 449.68509, verif: -1
sort Taille_M: 780, nbthreads: 1024, numblocks: 65535, Temps: 451.18289, verif: -1
sort Taille_M: 790, nbthreads: 1024, numblocks: 65535, Temps: 453.34641, verif: -1
sort Taille_M: 800, nbthreads: 1024, numblocks: 65535, Temps: 458.83871, verif: -1
sort Taille_M: 810, nbthreads: 1024, numblocks: 65535, Temps: 473.03964, verif: -1
sort Taille_M: 820, nbthreads: 1024, numblocks: 65535, Temps: 468.22546, verif: -1
sort Taille_M: 830, nbthreads: 1024, numblocks: 65535, Temps: 475.74979, verif: -1
sort Taille_M: 840, nbthreads: 1024, numblocks: 65535, Temps: 486.32156, verif: -1
sort Taille_M: 850, nbthreads: 1024, numblocks: 65535, Temps: 545.70404, verif: -1
sort Taille_M: 860, nbthreads: 1024, numblocks: 65535, Temps: 489.76437, verif: -1
sort Taille_M: 870, nbthreads: 1024, numblocks: 65535, Temps: 584.76385, verif: -1
sort Taille_M: 880, nbthreads: 1024, numblocks: 65535, Temps: 582.09418, verif: -1
sort Taille_M: 890, nbthreads: 1024, numblocks: 65535, Temps: 502.90274, verif: -1
sort Taille_M: 900, nbthreads: 1024, numblocks: 65535, Temps: 503.58652, verif: -1
sort Taille_M: 910, nbthreads: 1024, numblocks: 65535, Temps: 511.20923, verif: -1
sort Taille_M: 920, nbthreads: 1024, numblocks: 65535, Temps: 507.53439, verif: -1
sort Taille_M: 930, nbthreads: 1024, numblocks: 65535, Temps: 601.91791, verif: -1
sort Taille_M: 940, nbthreads: 1024, numblocks: 65535, Temps: 513.42206, verif: -1
sort Taille_M: 950, nbthreads: 1024, numblocks: 65535, Temps: 522.46765, verif: -1
sort Taille_M: 960, nbthreads: 1024, numblocks: 65535, Temps: 608.26062, verif: -1
sort Taille_M: 970, nbthreads: 1024, numblocks: 65535, Temps: 536.19208, verif: -1
sort Taille_M: 980, nbthreads: 1024, numblocks: 65535, Temps: 537.04309, verif: -1
sort Taille_M: 990, nbthreads: 1024, numblocks: 65535, Temps: 545.15259, verif: -1
sort Taille_M: 1000, nbthreads: 1024, numblocks: 65535, Temps: 644.00287, verif: -1
sort Taille_M: 1010, nbthreads: 1024, numblocks: 65535, Temps: 552.65924, verif: -1
sort Taille_M: 1020, nbthreads: 1024, numblocks: 65535, Temps: 659.10876, verif: -1
sort Taille_M: 1030, nbthreads: 1024, numblocks: 65535, Temps: 556.05481, verif: -1
sort Taille_M: 1040, nbthreads: 1024, numblocks: 65535, Temps: 557.35071, verif: -1
sort Taille_M: 1050, nbthreads: 1024, numblocks: 65535, Temps: 563.70117, verif: -1
sort Taille_M: 1060, nbthreads: 1024, numblocks: 65535, Temps: 567.36072, verif: -1
sort Taille_M: 1070, nbthreads: 1024, numblocks: 65535, Temps: 568.41675, verif: -1
sort Taille_M: 1080, nbthreads: 1024, numblocks: 65535, Temps: 638.36786, verif: -1
sort Taille_M: 1090, nbthreads: 1024, numblocks: 65535, Temps: 641.58667, verif: -1
sort Taille_M: 1100, nbthreads: 1024, numblocks: 65535, Temps: 657.41205, verif: -1
sort Taille_M: 1110, nbthreads: 1024, numblocks: 65535, Temps: 583.70715, verif: -1
sort Taille_M: 1120, nbthreads: 1024, numblocks: 65535, Temps: 582.58380, verif: -1
sort Taille_M: 1130, nbthreads: 1024, numblocks: 65535, Temps: 590.80780, verif: -1
sort Taille_M: 1140, nbthreads: 1024, numblocks: 65535, Temps: 592.36633, verif: -1
sort Taille_M: 1150, nbthreads: 1024, numblocks: 65535, Temps: 590.82806, verif: -1
sort Taille_M: 1160, nbthreads: 1024, numblocks: 65535, Temps: 603.85120, verif: -1
sort Taille_M: 1170, nbthreads: 1024, numblocks: 65535, Temps: 617.60077, verif: -1
sort Taille_M: 1180, nbthreads: 1024, numblocks: 65535, Temps: 613.26819, verif: -1
sort Taille_M: 1190, nbthreads: 1024, numblocks: 65535, Temps: 684.52783, verif: -1
sort Taille_M: 1200, nbthreads: 1024, numblocks: 65535, Temps: 621.72681, verif: -1
sort Taille_M: 1210, nbthreads: 1024, numblocks: 65535, Temps: 622.54144, verif: -1
sort Taille_M: 1220, nbthreads: 1024, numblocks: 65535, Temps: 623.63000, verif: -1
sort Taille_M: 1230, nbthreads: 1024, numblocks: 65535, Temps: 636.01642, verif: -1
sort Taille_M: 1240, nbthreads: 1024, numblocks: 65535, Temps: 728.87543, verif: -1
sort Taille_M: 1250, nbthreads: 1024, numblocks: 65535, Temps: 634.47498, verif: -1
sort Taille_M: 1260, nbthreads: 1024, numblocks: 65535, Temps: 642.63092, verif: -1
sort Taille_M: 1270, nbthreads: 1024, numblocks: 65535, Temps: 715.10425, verif: -1
sort Taille_M: 1280, nbthreads: 1024, numblocks: 65535, Temps: 651.58698, verif: -1
sort Taille_M: 1290, nbthreads: 1024, numblocks: 65535, Temps: 735.91467, verif: -1
sort Taille_M: 1300, nbthreads: 1024, numblocks: 65535, Temps: 736.05365, verif: -1
sort Taille_M: 1310, nbthreads: 1024, numblocks: 65535, Temps: 657.15698, verif: -1
sort Taille_M: 1320, nbthreads: 1024, numblocks: 65535, Temps: 742.97009, verif: -1
sort Taille_M: 1330, nbthreads: 1024, numblocks: 65535, Temps: 668.69202, verif: -1
sort Taille_M: 1340, nbthreads: 1024, numblocks: 65535, Temps: 669.21570, verif: -1
sort Taille_M: 1350, nbthreads: 1024, numblocks: 65535, Temps: 682.40253, verif: -1
sort Taille_M: 1360, nbthreads: 1024, numblocks: 65535, Temps: 676.25153, verif: -1
sort Taille_M: 1370, nbthreads: 1024, numblocks: 65535, Temps: 753.63031, verif: -1
sort Taille_M: 1380, nbthreads: 1024, numblocks: 65535, Temps: 750.15564, verif: -1
sort Taille_M: 1390, nbthreads: 1024, numblocks: 65535, Temps: 775.93481, verif: -1
sort Taille_M: 1400, nbthreads: 1024, numblocks: 65535, Temps: 754.52527, verif: -1
sort Taille_M: 1410, nbthreads: 1024, numblocks: 65535, Temps: 698.37244, verif: -1
sort Taille_M: 1420, nbthreads: 1024, numblocks: 65535, Temps: 764.15247, verif: -1
sort Taille_M: 1430, nbthreads: 1024, numblocks: 65535, Temps: 731.07098, verif: -1
sort Taille_M: 1440, nbthreads: 1024, numblocks: 65535, Temps: 714.86383, verif: -1
sort Taille_M: 1450, nbthreads: 1024, numblocks: 65535, Temps: 722.22516, verif: -1
sort Taille_M: 1460, nbthreads: 1024, numblocks: 65535, Temps: 787.26843, verif: -1
sort Taille_M: 1470, nbthreads: 1024, numblocks: 65535, Temps: 724.34491, verif: -1
sort Taille_M: 1480, nbthreads: 1024, numblocks: 65535, Temps: 807.80536, verif: -1
sort Taille_M: 1490, nbthreads: 1024, numblocks: 65535, Temps: 727.57068, verif: -1
sort Taille_M: 1500, nbthreads: 1024, numblocks: 65535, Temps: 731.67755, verif: -1
sort Taille_M: 1510, nbthreads: 1024, numblocks: 65535, Temps: 819.08862, verif: -1
sort Taille_M: 1520, nbthreads: 1024, numblocks: 65535, Temps: 5646.96631, verif: -1
sort Taille_M: 1530, nbthreads: 1024, numblocks: 65535, Temps: 2201.57690, verif: -1
sort Taille_M: 1540, nbthreads: 1024, numblocks: 65535, Temps: 836.15015, verif: -1
sort Taille_M: 1550, nbthreads: 1024, numblocks: 65535, Temps: 836.57550, verif: -1
sort Taille_M: 1560, nbthreads: 1024, numblocks: 65535, Temps: 834.36963, verif: -1
sort Taille_M: 1570, nbthreads: 1024, numblocks: 65535, Temps: 842.99396, verif: -1
sort Taille_M: 1580, nbthreads: 1024, numblocks: 65535, Temps: 767.71027, verif: -1
