sort_stream Taille_M: 10, nbthreads: 1024, numblocks: 65535, Temps: 7.65702, verif: -1
sort_stream Taille_M: 10, nbthreads: 1024, numblocks: 65535, Temps: 7.87827, verif: -1
sort_stream Taille_M: 20, nbthreads: 1024, numblocks: 65535, Temps: 12.92170, verif: -1
sort_stream Taille_M: 30, nbthreads: 1024, numblocks: 65535, Temps: 17.46512, verif: -1
sort_stream Taille_M: 40, nbthreads: 1024, numblocks: 65535, Temps: 24.96307, verif: -1
sort_stream Taille_M: 50, nbthreads: 1024, numblocks: 65535, Temps: 29.02202, verif: -1
sort_stream Taille_M: 60, nbthreads: 1024, numblocks: 65535, Temps: 35.97161, verif: -1
sort_stream Taille_M: 70, nbthreads: 1024, numblocks: 65535, Temps: 47.66458, verif: -1
sort_stream Taille_M: 80, nbthreads: 1024, numblocks: 65535, Temps: 50.53897, verif: -1
sort_stream Taille_M: 90, nbthreads: 1024, numblocks: 65535, Temps: 64.26585, verif: -1
sort_stream Taille_M: 100, nbthreads: 1024, numblocks: 65535, Temps: 64.76323, verif: -1
sort_stream Taille_M: 110, nbthreads: 1024, numblocks: 65535, Temps: 73.44899, verif: -1
sort_stream Taille_M: 120, nbthreads: 1024, numblocks: 65535, Temps: 77.52352, verif: -1
sort_stream Taille_M: 130, nbthreads: 1024, numblocks: 65535, Temps: 90.67130, verif: -1
sort_stream Taille_M: 140, nbthreads: 1024, numblocks: 65535, Temps: 104.11520, verif: -1
sort_stream Taille_M: 150, nbthreads: 1024, numblocks: 65535, Temps: 112.71459, verif: -1
sort_stream Taille_M: 160, nbthreads: 1024, numblocks: 65535, Temps: 119.07178, verif: -1
sort_stream Taille_M: 170, nbthreads: 1024, numblocks: 65535, Temps: 126.50185, verif: -1
sort_stream Taille_M: 180, nbthreads: 1024, numblocks: 65535, Temps: 133.57367, verif: -1
sort_stream Taille_M: 190, nbthreads: 1024, numblocks: 65535, Temps: 147.47588, verif: -1
sort_stream Taille_M: 200, nbthreads: 1024, numblocks: 65535, Temps: 152.27472, verif: -1
sort_stream Taille_M: 210, nbthreads: 1024, numblocks: 65535, Temps: 157.96465, verif: -1
sort_stream Taille_M: 220, nbthreads: 1024, numblocks: 65535, Temps: 167.42519, verif: -1
sort_stream Taille_M: 230, nbthreads: 1024, numblocks: 65535, Temps: 174.62119, verif: -1
sort_stream Taille_M: 240, nbthreads: 1024, numblocks: 65535, Temps: 181.16905, verif: -1
sort_stream Taille_M: 250, nbthreads: 1024, numblocks: 65535, Temps: 262.52896, verif: -1
sort_stream Taille_M: 260, nbthreads: 1024, numblocks: 65535, Temps: 201.48892, verif: -1
sort_stream Taille_M: 270, nbthreads: 1024, numblocks: 65535, Temps: 293.50696, verif: -1
sort_stream Taille_M: 280, nbthreads: 1024, numblocks: 65535, Temps: 207.70892, verif: -1
sort_stream Taille_M: 290, nbthreads: 1024, numblocks: 65535, Temps: 328.89563, verif: -1
sort_stream Taille_M: 300, nbthreads: 1024, numblocks: 65535, Temps: 223.33824, verif: -1
sort_stream Taille_M: 310, nbthreads: 1024, numblocks: 65535, Temps: 228.36147, verif: -1
sort_stream Taille_M: 320, nbthreads: 1024, numblocks: 65535, Temps: 236.81699, verif: -1
sort_stream Taille_M: 330, nbthreads: 1024, numblocks: 65535, Temps: 239.04999, verif: -1
sort_stream Taille_M: 340, nbthreads: 1024, numblocks: 65535, Temps: 241.26797, verif: -1
