Code_sequentiel Taille_A: 1014, Taille_B: 10, Taille_M: 1024, Temps: 0.01030, verif:1
Code_sequentiel Taille_A: 1004, Taille_B: 20, Taille_M: 1024, Temps: 0.00864, verif:1
Code_sequentiel Taille_A: 994, Taille_B: 30, Taille_M: 1024, Temps: 0.00829, verif:1
Code_sequentiel Taille_A: 984, Taille_B: 40, Taille_M: 1024, Temps: 0.00771, verif:1
Code_sequentiel Taille_A: 974, Taille_B: 50, Taille_M: 1024, Temps: 0.00797, verif:1
Code_sequentiel Taille_A: 964, Taille_B: 60, Taille_M: 1024, Temps: 0.00784, verif:1
Code_sequentiel Taille_A: 954, Taille_B: 70, Taille_M: 1024, Temps: 0.00800, verif:1
Code_sequentiel Taille_A: 944, Taille_B: 80, Taille_M: 1024, Temps: 0.00851, verif:1
Code_sequentiel Taille_A: 934, Taille_B: 90, Taille_M: 1024, Temps: 0.00829, verif:1
Code_sequentiel Taille_A: 924, Taille_B: 100, Taille_M: 1024, Temps: 0.00832, verif:1
Code_sequentiel Taille_A: 914, Taille_B: 110, Taille_M: 1024, Temps: 0.01056, verif:1
Code_sequentiel Taille_A: 904, Taille_B: 120, Taille_M: 1024, Temps: 0.00906, verif:1
Code_sequentiel Taille_A: 894, Taille_B: 130, Taille_M: 1024, Temps: 0.00950, verif:1
Code_sequentiel Taille_A: 884, Taille_B: 140, Taille_M: 1024, Temps: 0.00893, verif:1
Code_sequentiel Taille_A: 874, Taille_B: 150, Taille_M: 1024, Temps: 0.00880, verif:1022
Code_sequentiel Taille_A: 864, Taille_B: 160, Taille_M: 1024, Temps: 0.00950, verif:1
Code_sequentiel Taille_A: 854, Taille_B: 170, Taille_M: 1024, Temps: 0.00931, verif:1
Code_sequentiel Taille_A: 844, Taille_B: 180, Taille_M: 1024, Temps: 0.00922, verif:1
Code_sequentiel Taille_A: 834, Taille_B: 190, Taille_M: 1024, Temps: 0.00950, verif:1
Code_sequentiel Taille_A: 824, Taille_B: 200, Taille_M: 1024, Temps: 0.00973, verif:1021
Code_sequentiel Taille_A: 814, Taille_B: 210, Taille_M: 1024, Temps: 0.00989, verif:1
Code_sequentiel Taille_A: 804, Taille_B: 220, Taille_M: 1024, Temps: 0.00973, verif:1
Code_sequentiel Taille_A: 794, Taille_B: 230, Taille_M: 1024, Temps: 0.00995, verif:1
Code_sequentiel Taille_A: 784, Taille_B: 240, Taille_M: 1024, Temps: 0.01014, verif:1
Code_sequentiel Taille_A: 774, Taille_B: 250, Taille_M: 1024, Temps: 0.01002, verif:1022
Code_sequentiel Taille_A: 764, Taille_B: 260, Taille_M: 1024, Temps: 0.01008, verif:1022
Code_sequentiel Taille_A: 754, Taille_B: 270, Taille_M: 1024, Temps: 0.01021, verif:1
Code_sequentiel Taille_A: 744, Taille_B: 280, Taille_M: 1024, Temps: 0.01053, verif:1
Code_sequentiel Taille_A: 734, Taille_B: 290, Taille_M: 1024, Temps: 0.01037, verif:1
Code_sequentiel Taille_A: 724, Taille_B: 300, Taille_M: 1024, Temps: 0.01078, verif:1
Code_sequentiel Taille_A: 714, Taille_B: 310, Taille_M: 1024, Temps: 0.01114, verif:1
