mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 8.82224, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.13667, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.11040, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.09002, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.11050, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.08291, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.04906, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.13094, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.05843, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.08912, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.12237, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.07997, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.11696, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.11872, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 7.07501, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.97466, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.82163, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.80662, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.78038, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.82157, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.81114, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.80378, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.77894, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.86422, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.80102, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.80278, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.82861, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.79818, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.82195, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.76186, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73037, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73722, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73629, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.75494, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74848, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73008, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.75715, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69872, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72522, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.78630, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72022, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70630, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.79421, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70272, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74774, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.80912, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71712, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74870, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.76630, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71306, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73197, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67203, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70739, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68205, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67888, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70608, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67824, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66749, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72605, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68477, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69846, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68714, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68317, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69139, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70787, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66822, verif: -1
